province,type_of_dwelling,income,marital_status,age_group,sex,food_expenditure,clothing_expenditure,transportation_expenditure,personal_care_expenditure,recreation_expenditure,tobacco_alcohol_expenditure,miscellaneous_expenditure,total_consumption_expenditure,total_expenditure,weeks_worked
NL,single_detached,50000,married,35-39,1,4600,4000,5880,2500,3990,1200,150,33600,54198,52
NL,single_detached,57000,other,35-39,2,15700,825,5130,240,1850,100,755,39568,48955,52
NL,single_detached,33000,married,50-54,1,9700,1720,13380,995,8230,100,635,48583,69358,52
NL,apartment,31000,other,35-39,2,7615,2570,1822,850,3126,200,140,28765,30388,27
NL,single_detached,22000,married,45-49,2,5280,2500,24264,150,952,6240,563,47851,65734,52
NL,single_detached,37000,married,50-54,1,6500,3600,7140,500,2035,920,372,34132,54861,40
NL,single_detached,79000,married,35-39,1,6430,2715,4720,815,1880,5160,2060,35532,64293,23
NL,single_detached,36000,married,35-39,1,7800,2665,3106,830,2795,600,765,34498,51516,52
NL,single_detached,21000,other,60-64,2,3480,745,2420,253,661,100,85,14145,19034,52
NL,single_detached,95000,married,45-49,1,6760,2050,8564,1195,896,2000,696,38955,92160,52
NL,single_detached,65000,married,35-39,1,7200,3290,10530,1470,3788,800,1415,48362,98256,52
NL,single_detached,66000,married,50-54,1,6760,1110,5260,1470,2347,0,1275,40163,64377,52
NL,single_detached,40000,married,40-44,1,6900,2880,4628,930,5011,330,1209,52740,82111,52
NL,single_detached,47000,married,55-59,1,5980,2240,6662,1040,1978,6400,665,41334,52873,18
NL,single_detached,72000,other,50-54,2,8400,2500,5400,775,2460,1500,1096,34112,60047,52
NL,single_detached,31000,never_married,50-54,1,4420,1030,14210,286,1148,1360,762,29249,43557,52
NL,single_detached,43000,never_married,30-34,2,3520,1335,5010,660,1632,1060,986,25296,38445,52
NL,apartment,18000,married,40-44,2,8580,2140,3838,475,2946,7856,170,41449,52359,52
NL,single_detached,47000,married,40-44,1,2900,2730,1816,895,2748,200,1464,31541,55819,52
NL,single_detached,65000,married,45-49,2,10800,4440,5162,1540,1421,6274,1185,53973,88530,52
NL,single_detached,38000,married,50-54,1,8320,1860,11620,1315,643,0,59,36247,46482,32
NL,single_detached,45000,married,55-59,1,12900,1580,6520,1342,2507,11350,569,60808,77471,52
NL,single_detached,23000,married,35-39,1,7500,3900,8112,1050,4210,1924,109,35620,41724,52
NL,single_detached,25000,married,60-64,1,6390,1580,9675,565,627,240,269,32014,38566,32
NL,single_detached,37000,married,60-64,1,9700,2060,5932,855,1623,500,100,34710,51444,16
NL,single_detached,20000,married,50-54,1,7690,4150,9083,1630,1494,1700,90,42742,50326,16
NL,single_detached,50000,married,40-44,1,8150,3495,15821,1260,3115,1190,416,51393,74288,52
NL,single_detached,12000,married,35-39,2,8800,3795,18269,1710,2389,2522,466,52045,68762,50
NL,single_detached,32000,married,50-54,1,6485,1754,22412,709,2573,170,567,56519,67942,52
NL,single_detached,42000,married,55-59,2,8000,3380,4140,580,8026,140,227,37718,56567,50
NL,single_detached,47000,married,70-74,1,5700,1925,2797,840,1669,255,290,25274,31108,16
NL,single_detached,61000,never_married,30-34,1,2840,1490,7570,450,6070,2290,1490,38987,66631,52
NL,single_detached,35000,other,50-54,1,3900,460,12840,255,1327,3900,315,37924,46469,52
NL,single_detached,42000,married,50-54,1,5340,1250,6260,994,7503,1080,575,46906,59405,52
NL,single_detached,70000,married,50-54,1,8400,2960,8770,1717,3070,1324,749,39082,65756,52
NL,single_detached,36000,married,35-39,1,13520,1410,6770,1060,3750,510,218,47584,64023,36
NL,single_detached,21000,married,35-39,1,16100,1810,2650,1215,1335,70,440,41008,40881,20
NL,single_detached,30000,married,35-39,2,6796,3200,11662,820,3060,1050,1260,42641,66136,52
NL,single_detached,31000,married,50-54,2,5600,1952,2473,675,1007,0,634,26353,37718,28
NL,single_detached,31000,married,45-49,1,6000,3687,9279,1960,4115,1504,260,39212,58160,20
NL,single_detached,29000,married,30-34,1,6120,3090,6975,2394,2697,1560,247,38166,42815,52
NL,single_detached,29000,married,40-44,1,9640,1535,2000,560,1460,1150,434,25604,40678,27
NL,single_detached,48000,married,45-49,1,7224,2915,14297,1310,5153,675,2112,52657,71830,37
NL,single_detached,21000,married,40-44,2,9400,3000,3200,800,2376,500,250,28091,34599,18
NL,single_detached,39000,married,55-59,1,6500,1650,7980,985,2120,2130,1291,35494,47187,32
NL,single_detached,19000,married,50-54,2,5170,5405,7939,1383,1152,3199,694,41498,41961,24
NL,single_detached,19000,married,30-34,2,8300,3345,19432,840,3987,1200,60,57759,77910,52
NL,single_detached,33000,never_married,35-39,1,7300,840,23390,980,48,100,274,36330,47957,42
NL,single_detached,14000,married,30-34,2,10600,2490,2480,1130,4255,1200,60,46010,53647,16
NL,single_detached,28000,other,50-54,1,4300,1160,14542,520,846,50,50,26181,29222,26
NL,other,29000,other,30-34,2,1900,1935,4655,1539,1308,700,264,27287,35076,52
NL,single_detached,31000,married,50-54,1,5330,1890,2813,600,1450,2000,48,21543,31292,52
NL,single_detached,37000,married,25-29,2,6230,3060,13828,1620,3420,5400,832,49427,53344,40
NL,single_detached,45000,married,55-59,1,6825,3400,5418,1060,1091,3130,360,40934,57016,26
NL,single_detached,20000,other,50-54,2,5600,1945,500,175,6300,0,200,20569,25740,20
NL,single_detached,52000,other,60-64,2,4160,2900,13800,1950,1281,730,2582,44342,70904,52
NL,single_detached,15000,married,40-44,2,6060,1217,2071,706,350,995,40,27927,36333,52
NL,apartment,27000,never_married,<25,2,7700,2855,6081,2140,950,8130,960,46884,63401,52
NL,semi_detached,65000,married,60-64,1,7900,8655,5990,3094,814,260,280,43874,62434,34
NL,single_detached,22000,married,30-34,2,8200,2590,4070,770,5290,0,350,44891,49657,52
NL,single_detached,52000,other,45-49,1,10420,4278,10672,1160,5867,3912,920,63301,76441,52
NL,single_detached,12000,married,55-59,2,4950,2175,3115,810,849,0,179,21726,31701,52
NL,single_detached,64000,never_married,30-34,2,4600,3475,4020,1525,5811,897,1005,38381,60422,52
NL,single_detached,59000,other,45-49,2,6600,3250,3706,985,5544,500,659,40284,60563,52
NL,single_detached,22000,married,45-49,2,8268,2612,8220,1092,4345,3160,656,53185,62462,51
NL,semi_detached,33000,other,35-39,2,9600,550,2640,630,510,680,50,27460,28354,52
NL,single_detached,70000,married,35-39,1,11100,5594,9160,950,6430,3775,287,67488,94943,52
NL,single_detached,82000,never_married,50-54,2,11150,1820,4612,920,2508,3760,1475,44708,81380,52
NL,single_detached,26000,married,45-49,2,10120,6670,7750,1270,6274,600,308,66537,87012,32
NL,duplex,14000,married,50-54,2,3740,1335,3855,610,720,260,350,26218,26685,30
NL,apartment,21000,never_married,45-49,1,3700,170,200,204,120,2302,148,12409,17309,52
NL,single_detached,31000,married,45-49,1,4650,2650,4398,1270,2316,2600,439,27591,32357,30
NL,single_detached,55000,married,50-54,1,7300,850,4860,574,1158,300,1716,31972,77622,52
NL,single_detached,35000,married,30-34,1,8300,2085,4327,2311,2783,1749,313,41460,48590,52
NL,single_detached,70000,other,55-59,2,4300,2020,9215,1207,622,0,340,43657,48183,52
NL,single_detached,24000,other,45-49,1,4140,1550,1300,892,626,5804,451,28735,32129,52
NL,single_detached,82000,married,30-34,1,11900,2785,2720,1767,5191,200,1244,44412,72089,33
NL,duplex,35000,never_married,45-49,2,10250,3255,4774,1460,3963,50,436,42517,44627,52
NL,single_detached,25000,married,45-49,1,6950,1390,2940,599,2352,975,372,31454,37957,26
NL,single_detached,49000,married,35-39,1,6500,6490,2852,1470,2960,100,280,54086,76281,52
NL,single_detached,32000,married,50-54,1,8300,1820,4130,340,1240,100,170,21630,30822,44
NL,row_house,22000,other,45-49,2,2660,300,3400,320,840,2920,100,18340,19199,22
NL,row_house,62000,married,60-64,1,10200,3501,6180,405,2000,4120,65,39156,58847,52
00,single_detached,17000,married,<25,2,3050,2546,5146,190,3500,60,230,40882,47298,52
NL,single_detached,52000,married,50-54,1,7200,9590,17945,2830,6320,2500,600,63330,90882,20
NL,other,36000,other,45-49,1,6150,2340,11120,520,3645,3555,216,42274,53811,36
NL,single_detached,34000,married,60-64,1,7040,1065,7186,496,3054,1396,1610,37843,48424,18
NL,single_detached,56000,married,50-54,1,4880,3356,3152,610,7738,2480,1558,32306,70813,52
NL,single_detached,17000,married,55-59,2,8115,795,10404,570,5579,1820,628,36594,45614,18
NL,single_detached,19000,married,45-49,1,9600,3020,16570,1070,4495,340,1700,49415,54761,30
NL,single_detached,13000,married,50-54,2,3700,1332,3180,600,3600,4302,40,21159,25556,32
NL,other,17000,married,45-49,2,4950,475,188,800,2869,1300,72,15904,18636,46
NL,single_detached,29000,married,50-54,1,7400,4110,5560,540,780,6800,306,43801,58551,24
NL,single_detached,18000,married,60-64,2,4240,560,11648,305,3426,3850,282,32318,37597,20
NL,single_detached,16000,married,45-49,2,5780,718,25774,720,1637,3830,120,53331,59241,52
NL,single_detached,43000,married,40-44,1,12400,4269,8630,1460,4844,520,592,47645,54854,23
NL,single_detached,37000,married,50-54,1,16720,4430,6360,738,9721,1600,500,55903,61905,20
NL,single_detached,21000,married,50-54,1,5675,1572,25187,740,877,0,212,45725,53784,18
NL,single_detached,87000,other,55-59,1,5750,2195,36401,1550,2356,200,609,69807,94110,24
00,single_detached,48000,married,50-54,1,10720,1680,7112,450,1869,5775,1140,51609,70959,52
NL,other,25000,other,45-49,2,4520,1780,1990,1115,1120,2260,140,21170,23124,52
NL,single_detached,43000,married,60-64,1,6200,995,4040,440,1560,6000,723,37848,48914,52
NL,single_detached,33000,married,40-44,1,10650,1390,8210,747,1715,1,510,38462,50621,52
NL,single_detached,64000,married,60-64,1,6900,3875,6140,300,816,3770,270,31891,47261,24
NL,single_detached,59000,married,40-44,1,7838,3320,10190,1120,3184,850,554,46581,65841,48
NL,semi_detached,82000,married,50-54,1,6536,3482,3900,1407,1552,1800,1243,34193,63191,40
NL,single_detached,58000,married,45-49,2,9700,2184,9200,680,6191,4020,474,53052,88075,52
NL,row_house,40000,married,35-39,1,7700,4830,3588,2212,3103,0,240,37860,52081,52
NL,single_detached,46000,never_married,30-34,2,2380,740,3115,349,3412,350,752,29272,43048,52
NL,single_detached,14000,married,45-49,2,11040,3705,1940,1261,1738,635,144,45120,56745,52
NL,single_detached,15000,never_married,50-54,2,1860,740,6885,390,300,330,100,16279,18741,25
NL,single_detached,24000,never_married,35-39,1,4195,1000,7176,187,1306,798,570,21315,25879,18
NL,single_detached,27000,married,45-49,2,4985,2050,5734,1095,1391,3100,380,36707,49511,52
NL,single_detached,19000,married,40-44,2,7280,2022,3564,260,4499,2522,55,35330,48721,52
NL,single_detached,31000,other,30-34,2,7420,1410,5675,410,2135,0,1068,25400,26915,33
NL,single_detached,45000,married,55-59,1,4700,3040,12980,1240,1997,50,1019,32926,46390,39
NL,single_detached,27000,married,45-49,2,8610,4630,7350,2800,2156,0,757,39081,46056,52
NL,single_detached,25000,married,55-59,1,7270,2215,11430,860,4146,0,585,40439,53629,22
NL,single_detached,59000,married,35-39,1,7220,1735,4212,120,3815,200,889,37610,53521,52
NL,other,12000,married,35-39,2,6700,1650,6080,1190,870,5500,342,31642,35708,52
NL,single_detached,20000,married,40-44,2,11100,3815,5303,2410,5975,470,550,42411,49082,52
NL,single_detached,24000,married,60-64,2,4300,1002,4140,635,1825,3420,144,34856,39546,52
NL,single_detached,81000,married,65-69,1,5500,1370,6160,1200,1099,1842,476,35028,76744,24
NL,single_detached,19000,other,30-34,1,4200,540,3185,349,740,35,390,21088,24915,52
NL,single_detached,23000,married,50-54,2,12400,8345,8257,1095,6738,1300,616,52769,59511,52
NL,single_detached,38000,married,45-49,1,4140,2375,4352,904,2275,1644,130,29229,39323,20
NL,single_detached,60000,married,35-39,1,6500,6100,6840,1365,3662,1700,895,62335,87106,52
NL,single_detached,20000,married,55-59,1,5300,1050,4380,475,1390,100,410,18840,20923,52
NL,single_detached,11000,married,60-64,1,6400,2500,1020,960,1790,100,275,26980,28510,52
NL,single_detached,52000,married,45-49,1,3000,1288,7592,567,1800,1676,711,29832,44098,52
NL,single_detached,40000,married,55-59,1,8050,2580,4260,1230,700,3720,420,34257,39967,30
NL,semi_detached,41000,other,50-54,1,4760,325,3160,200,1020,0,520,17234,37734,32
NL,single_detached,38000,married,35-39,2,13000,2325,6444,540,4304,20,500,48971,67117,52
NL,single_detached,33000,married,25-29,1,11800,1630,4640,1020,1840,1040,1320,37595,51669,36
NL,single_detached,20000,married,50-54,2,5500,2310,22665,525,6000,3478,1812,72516,96943,40
NL,single_detached,54000,other,60-64,1,4240,680,3580,365,1020,3320,312,21533,38393,52
NL,single_detached,23000,never_married,25-29,2,3840,1800,9844,1560,2285,840,685,53740,54775,18
NL,single_detached,72000,other,55-59,1,7500,2475,6880,740,6300,5000,350,48475,59485,52
NL,row_house,20000,married,30-34,1,14200,6345,7080,1430,3410,7665,670,53846,60845,26
NL,semi_detached,53000,other,50-54,1,5600,3525,746,990,2420,222,628,30294,39146,52
NL,single_detached,70000,married,40-44,1,3880,6050,7030,2230,5655,160,950,65011,87018,26
NL,single_detached,85000,other,50-54,1,6400,3095,8600,560,7300,1300,664,43119,67629,52
NL,single_detached,30000,married,60-64,1,3820,1685,7020,1055,1255,675,372,23637,34621,37
NL,single_detached,50000,married,50-54,1,6325,3750,5730,1575,3805,600,300,35780,52107,52
NL,single_detached,43000,never_married,25-29,2,5950,1740,4712,1010,3330,980,830,35752,39791,52
NL,single_detached,25000,married,40-44,1,4400,735,4320,750,2850,400,624,30786,43589,16
NL,single_detached,65000,married,35-39,1,10460,895,10090,612,8091,0,718,41026,77108,52
NL,duplex,40000,married,25-29,2,3170,1060,4659,895,4290,1400,320,29656,48906,52
NL,single_detached,45000,married,50-54,1,6100,4750,5140,950,7280,4170,350,42550,52516,52
NL,single_detached,14000,married,50-54,2,5650,2480,3940,525,850,1200,1020,50771,56727,17
NL,single_detached,42000,married,65-69,2,5450,1300,12260,409,2598,250,1179,39039,81766,32
NL,single_detached,87000,other,45-49,2,11300,6192,8100,2765,6740,405,845,69943,95245,52
NL,single_detached,27000,married,55-59,2,7050,6800,24741,519,2846,130,100,61026,83072,52
NL,row_house,45000,married,55-59,1,5500,3650,8235,980,1630,3550,1630,35146,64630,24
NL,single_detached,43000,other,40-44,1,5520,3300,6750,950,6895,8800,395,48795,58184,44
NL,single_detached,22000,married,35-39,2,6590,2885,23162,460,7573,3970,1518,68762,94355,52
NL,row_house,18000,married,50-54,1,8000,5157,6742,1910,6394,100,911,52089,60992,24
NL,apartment,37000,never_married,55-59,2,3800,1210,1815,575,589,0,210,23980,29591,52
